,count,mean,std,min,25%,50%,75%,max,missing,skewness,kurtosis
actor_is_bot,8000.0,0.15175,0.35880082184091944,0.0,0.0,0.0,0.0,1.0,0,1.941673837221638,1.7705398626226723
business,8000.0,6.720625,4.925201194898161,0.0,2.0,6.0,10.0,16.0,0,0.39276998148172004,-1.1674351510081502
operation_type,8000.0,3.82975,1.05375696342527,0.0,3.0,4.0,4.0,7.0,0,-1.3538136241388956,4.602028295303482
user_agent,8000.0,1.99975,0.5998290688721104,0.0,2.0,2.0,2.0,4.0,0,-0.430993548333318,2.794930239423304
user_id,8000.0,138.9195,49.57329128322106,0.0,119.0,169.0,169.0,169.0,0,-1.4323504446602406,0.6016488463065084
pull_request_id,8000.0,25.2555,3.5055678392714733,0.0,26.0,26.0,26.0,26.0,0,-5.166678871830964,27.08407006950554
workflow_id,8000.0,8.90175,0.7281230719466233,0.0,9.0,9.0,9.0,9.0,0,-8.366101460549157,74.20554444820714
server_id,8000.0,132.21875,44.07594848204431,0.0,123.0,157.0,157.0,157.0,0,-1.6397395326708415,1.320311442930194
integration_id,8000.0,17.7055,1.8461976616076936,0.0,18.0,18.0,18.0,18.0,0,-6.902880168573866,49.394515340005306
hook_id,8000.0,4.964625,0.35866375525855276,0.0,5.0,5.0,5.0,5.0,0,-10.975033591753188,125.11803827729435
alert_id,8000.0,7.946875,0.49933345683284536,0.0,8.0,8.0,8.0,8.0,0,-10.634384172611213,120.90452083700369
event_hour,8000.0,14.089875,5.028042127441795,0.0,12.0,16.0,16.0,23.0,0,-1.0209210502721808,0.9550089110778042
event_dayofweek,8000.0,2.40025,1.6723933598121414,0.0,1.0,2.0,3.0,6.0,0,0.7108835661534706,-0.17544820225836544
event_month,8000.0,2.022875,0.7955695134501709,1.0,1.0,2.0,3.0,3.0,0,-0.0408589479517989,-1.4189443374898831
event_year,8000.0,2026.0,0.0,2026.0,2026.0,2026.0,2026.0,2026.0,0,0.0,0.0
is_weekend,8000.0,0.148625,0.355740675638221,0.0,0.0,0.0,0.0,1.0,0,1.9759498409108407,1.9048539247838425
actor_event_count,8000.0,32.72425,63.272293579649485,1.0,15.0,19.0,25.0,334.0,0,4.493559275639235,18.483880748500646
actor_bot_ratio,8000.0,0.15175,0.35880082184091944,0.0,0.0,0.0,0.0,1.0,0,1.941673837221638,1.7705398626226723
actor_active_days,8000.0,32.72425,63.272293579649485,1.0,15.0,19.0,25.0,334.0,0,4.493559275639235,18.483880748500646
actor_event_velocity,8000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0
is_integration_event,8000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0
is_bot_binary,8000.0,0.15175,0.35880082184091944,0.0,0.0,0.0,0.0,1.0,0,1.941673837221638,1.7705398626226723
is_high_activity_actor,8000.0,0.5165,0.49975891174768844,0.0,0.0,1.0,1.0,1.0,0,-0.06604835108909556,-1.9961367120198281
is_weekend_event,8000.0,0.148625,0.355740675638221,0.0,0.0,0.0,0.0,1.0,0,1.9759498409108407,1.9048539247838425
actor_is_bot_scaled,8000.0,1.4210854715202004e-16,1.0000625058599852,-0.42296303694515497,-0.42296303694515497,-0.42296303694515497,-0.42296303694515497,2.3642727913589963,0,1.9416738372216378,1.7705398626226758
business_scaled,8000.0,0.0,1.0000625058599855,-1.3646234564807938,-0.9585232927368581,-0.14632296524898683,0.6658773622388845,1.8841778534706914,0,0.39276998148172,-1.1674351510081507
operation_type_scaled,8000.0,-1.9984014443252818e-16,1.0000625058599857,-3.634604102038652,-0.787469874970056,0.16157486738614263,0.16157486738614263,3.0087090944547388,0,-1.3538136241388947,4.6020282953034775
user_agent_scaled,8000.0,1.225686219186173e-16,1.0000625058599852,-3.3340748221055274,0.0004168114541951045,0.0004168114541951045,0.0004168114541951045,3.3349084450139177,0,-0.4309935483333186,2.794930239423307
user_id_scaled,8000.0,3.952393967665557e-17,1.0000625058599852,-2.8024805230117713,-0.40184431111638735,0.6068263661505806,0.6068263661505806,0.6068263661505806,0,-1.432350444660241,0.6016488463065097
pull_request_id_scaled,8000.0,-4.138911435802584e-16,1.0000625058599852,-7.204846625360354,0.21238970967039944,0.21238970967039944,0.21238970967039944,0.21238970967039944,0,-5.166678871830964,27.084070069505547
