action,actor,actor_id,actor_is_bot,operation_type,repo,repo_id,org,org_id,user_agent,event_hour,event_dayofweek,event_month,event_year,is_weekend,actor_event_count,actor_bot_ratio,actor_event_velocity,is_integration_event,is_outlier
sub_issues.sub_issue_remove,ujxau-iuss-40,tgS0wZcTAQQiFcm4,0.0,5,org-vector-core-220/worker-granite-689,1198219392.0,org-vector-labs-187,1437113701,2,0,3,2,2026,0,21,0.0,1.0,1,1
org_credential_authorization.revoke,mbmhuhb-anjk-30,jI2CZwbP8C5REyH2,0.0,5,Unknown,nan,org-harbor-dynamics-335,50936404,2,15,3,1,2026,0,25,0.0,1.0,1,0
user.login,tzcug-vmgyhx-48,IfQWctLP1ILabcNZ,0.0,2,Unknown,nan,Unknown,nan,2,16,2,3,2026,0,34,0.0,1.0,1,0
hook.active_changed,tcprwtfj-tuurp-26,R1m4KPuBTKalTg1M,0.0,4,org-summit-cloud-603/cli-aurora-946,2042053973.0,org-vector-ops-839,1566524464,2,10,2,1,2026,0,31,0.0,1.0,1,0
repo.code_scanning_autofix_disabled,dkkscs-dsuloy-35,jtlARPaH8zm3cyvI,0.0,4,org-granite-stack-144/sdk-summit-203,853626754.0,org-quartz-labs-929,1067068872,1,20,0,2,2026,0,17,0.0,1.0,1,0
oauth_authorization.destroy,excrsxtn-giii-92,IlcJG477foWEuZb1,0.0,5,Unknown,nan,"['forge', 'techx2025']","[5573, 33372]",2,11,5,1,2026,1,21,0.0,1.0,1,0
user.show_private_contributions_count,edgnrct-zwphqxf-60,gV4MAto0k5oQp1MU,0.0,4,Unknown,nan,Unknown,nan,2,14,5,1,2026,1,23,0.0,1.0,1,0
git_signing_ssh_public_key.create,lqusbs-xvpod-44,JcXGuPDsP79vdtCs,0.0,3,Unknown,nan,Unknown,nan,2,10,2,1,2026,0,27,0.0,1.0,1,0
billing.change_email,mdxwe-lxbkp-68,NirGmxjbp0oYhr7o,0.0,4,Unknown,nan,org-atlas-systems-678,1332954673,2,13,3,1,2026,0,28,0.0,1.0,1,0
profile_picture.update,lnyny-xawq-57,pTkYILVA9kDZQ4ya,0.0,4,Unknown,nan,Unknown,nan,2,20,1,3,2026,0,37,0.0,1.0,1,0
pull_request_review_thread.unresolve,grgvnyt-nmty-13,608dYK7aOoMyrQIw,0.0,4,org-lumen-ops-915/engine-summit-812,nan,Unknown,nan,2,8,6,1,2026,1,18,0.0,1.0,1,0
restrict_notification_delivery.disable,zotkdi-kpgxj-83,UsPruAILhBDsUpeb,0.0,4,Unknown,nan,org-aurora-cloud-433,190874930,2,9,4,2,2026,0,8,0.0,1.0,1,0
org.codespaces_user_access_allowed,vtdtxqo-rqcyt-59,4OgzltL22x7dQxM3,0.0,3,Unknown,nan,org-quartz-stack-192,1853122579,2,8,3,2,2026,0,21,0.0,1.0,1,0
repository_ruleset.destroy,cmlas-kwrjs-14,CFFj86XMoN46iJZ3,0.0,5,org-cipher-systems-265/sdk-granite-999,12695321.0,org-cipher-logic-181,70508887,2,15,0,2,2026,0,19,0.0,1.0,1,0
repo.pages_cname,Unknown,nan,0.0,4,org-lumen-platform-453/api-cipher-954,1122016119.0,org-ember-forge-666,1640288276,3,16,1,2,2026,0,334,0.0,1.0,1,1
repository_secret_scanning_non_provider_patterns.disabled,gusykd-urnmv-75,57o3WqnZBIEC35xP,0.0,4,org-cipher-dynamics-445/service-delta-153,1478349596.0,org-aurora-logic-911,1725743024,2,16,3,3,2026,0,27,0.0,1.0,1,0
personal_access_token.access_granted,ictrb-gpnowc-65,WvIIKGi1JzZHaVI5,0.0,3,Unknown,nan,org-northstar-logic-120,1585465155,2,9,5,2,2026,1,22,0.0,1.0,1,0
user.suspend,fimerdxm-voyu-19,DFbFiNx07yLhvVAw,0.0,4,Unknown,nan,Unknown,nan,2,0,4,1,2026,0,25,0.0,1.0,1,1
org.secret_scanning_push_protection_custom_message_updated,ojggl-tvio-81,OcadsdWAaBArmlrj,0.0,4,Unknown,nan,org-quartz-platform-740,663851799,2,18,5,1,2026,1,17,0.0,1.0,1,0
organization_domain.create,mngjlz-icasn-56,e6LgcZWJmKZUSumc,0.0,3,Unknown,nan,org-granite-labs-460,1782417303,2,16,3,2,2026,0,19,0.0,1.0,1,0
pages_protected_domain.verify,Unknown,nan,0.0,4,Unknown,nan,Unknown,1979309007,3,21,0,2,2026,0,334,0.0,1.0,1,1
org.secret_scanning_push_protection_custom_message_disabled,vgvon-ixhnd-91,O67VSIBD2cUXAzbj,0.0,4,Unknown,nan,org-ember-logic-174,161401029,2,19,2,1,2026,0,17,0.0,1.0,1,0
repository_code_security.enable,olaodd-sxhiub-46,VQNMRzKBAPBdHYOj,0.0,4,org-cipher-dynamics-948/cli-ember-121,694302044.0,org-aurora-platform-170,1828261551,3,14,6,2,2026,1,26,0.0,1.0,1,0
integration_installation.repositories_removed,vbagrhyq-curtmk-42,6iCQb5t0Cc4hfSbz,0.0,5,Unknown,nan,org-aurora-platform-317,997410110,3,14,6,2,2026,1,14,0.0,1.0,1,0
repository_secret_scanning_non_provider_patterns.enabled,jczgbb-kdgita-35,WrQbJ6cMrUO4o6fC,0.0,4,org-lumen-cloud-817/pipeline-harbor-195,23656294.0,org-summit-logic-781,17839331,3,15,6,2,2026,1,12,0.0,1.0,1,0
hook.destroy,zwvslufh-oblbq-69,11RMNVoEHSf0Ot2j,0.0,5,org-aurora-platform-558/worker-delta-488,1713749083.0,org-quartz-core-270,848235747,2,9,5,1,2026,1,20,0.0,1.0,1,0
config_entry.create,icsho-usctys-61,ArKqo0V8umbEHzq2,0.0,3,org-aurora-ops-442/service-vector-909,1625583049.0,Unknown,nan,2,16,2,3,2026,0,15,0.0,1.0,1,0
repo.codeql_enabled,glyyjp-uhii-84,uCCTkspRyUrZWk4Z,0.0,4,org-quartz-platform-385/api-ember-693,557300397.0,org-northstar-works-297,1858256035,3,14,6,2,2026,1,25,0.0,1.0,1,0
repository_dependency_graph.disable,lzrkvj-iigm-38,QQdqFPQbX62r4uHS,0.0,4,org-northstar-core-411/portal-quartz-778,1211866913.0,org-granite-stack-997,1722811815,2,21,2,1,2026,0,12,0.0,1.0,1,0
project_view.delete,tcpicbp-eosjeuj-98,dUweRcQpWziRj8FA,0.0,5,Unknown,nan,org-ember-cloud-282,1429026564,2,11,1,3,2026,0,17,0.0,1.0,1,0
project_card.create,jcexprmp-cinev-37,EJt8tgIkHi9XCYZL,0.0,3,Unknown,nan,Unknown,nan,2,20,3,1,2026,0,18,0.0,1.0,1,0
repository_dependency_graph.disable,lzrkvj-iigm-38,QQdqFPQbX62r4uHS,0.0,4,org-northstar-core-411/portal-quartz-778,1211866913.0,org-granite-stack-997,1722811815,2,21,2,1,2026,0,12,0.0,1.0,1,0
repo.create_actions_variable,wwlcj-kvdi-48,xfFl2uNNNYxDVhRe,0.0,3,org-aurora-works-736/portal-atlas-386,1389607133.0,org-granite-signal-604,42724278,1,16,2,2,2026,0,22,0.0,1.0,1,0
pull_request_review_thread.delete,vqqod-vbthx-43,NVEsvFlmp8PcBiaN,0.0,5,org-ember-labs-931/infra-lumen-301,nan,Unknown,nan,2,16,2,3,2026,0,17,0.0,1.0,1,0
protected_branch.update_required_review_thread_resolution_enforcement_level,uzqneg-iuwzi-81,mjm0jgANcBmyYrPU,0.0,4,org-harbor-core-254/portal-ember-244,605372072.0,org-ember-platform-169,1727476070,2,17,1,3,2026,0,25,0.0,1.0,1,0
team.add_member,ieryetb-hvdprz-19,Xiw2iw60bLfl5oQY,0.0,3,Unknown,nan,org-quartz-forge-243,731687186,2,16,2,2,2026,0,24,0.0,1.0,1,0
ip_allow_list_entry.create,fjyqmnyv-yhobb-39,PphWrXbhbCUYerlZ,0.0,3,Unknown,nan,org-atlas-core-420,1025133853,2,10,1,2,2026,0,26,0.0,1.0,1,0
business_secret_scanning_push_protection_custom_message.enable,zlbgdr-xfdz-63,GYlFoat3wJgKmTUg,0.0,4,Unknown,nan,Unknown,nan,2,17,1,1,2026,0,22,0.0,1.0,1,0
git_signing_ssh_public_key.create,lqusbs-xvpod-44,JcXGuPDsP79vdtCs,0.0,3,Unknown,nan,Unknown,nan,2,10,2,1,2026,0,27,0.0,1.0,1,0
commit_comment.destroy,hgrnxjc-bddfgfl-11,CBomvHwkFzgdeqdf,0.0,5,org-summit-stack-163/sdk-lumen-628,1588492360.0,org-delta-stack-508,1990715659,2,4,3,2,2026,0,9,0.0,1.0,1,1
github_hosted_runner.update,bosdxbx-dgurw-88,nan,0.0,4,Unknown,nan,org-atlas-labs-251,1471113368,3,18,4,2,2026,0,18,0.0,1.0,1,0
integration.manager_added,ppjakq-fzirp-80,sGaJ4vbRMtQT0IFQ,0.0,3,Unknown,nan,org-vector-dynamics-602,1271746476,2,17,2,2,2026,0,17,0.0,1.0,1,0
environment.update_actions_variable,olilbeuf-onavfi-46,LWvtBVZH6MZyaK8D,0.0,4,org-atlas-works-114/sdk-summit-475,1607422762.0,org-aurora-labs-465,542994827,2,16,2,3,2026,0,13,0.0,1.0,1,0
vulnerability_alert_rule.create,fagurw-vyurchd-80,fw8PKTCYUtuOFK7B,0.0,3,org-quartz-forge-826/portal-quartz-801,137149787.0,org-ember-platform-457,172610740,2,15,2,1,2026,0,17,0.0,1.0,1,0
copilot.swe_agent_repo_enabled,ybxpqa-muva-24,RwMki0lSa2bsAzzr,0.0,3,org-aurora-ops-865/engine-summit-790,920082406.0,org-lumen-core-773,1240615987,2,18,3,2,2026,0,13,0.0,1.0,1,0
